项目,轮次,时间,运动员1,运动员2,得分1,得分2
Men's Singles , 32, 16:00 - 19/10/2011 , HAZINSKI Mark , ST LOUIS Dexter,1, 4
Men's Singles , 32, 16:00 - 19/10/2011 , OLIVARES Felipe , CAMPOS Jorge,2, 4
Men's Singles , 32, 16:00 - 19/10/2011 , NAVAS Marco , FAN Yiyong,4, 2
Men's Singles , 16, 19:00 - 19/10/2011 , LIU Song , ST LOUIS Dexter,4, 1
Men's Singles , 16, 19:00 - 19/10/2011 , PEREIRA Andy , HOYAMA Hugo,4, 2
Men's Singles , 16, 19:00 - 19/10/2011 , MINO Alberto , THERIAULT Pierre-Luc,4, 0
Men's Singles , 16, 19:00 - 19/10/2011 , CAMPOS Jorge , TSUBOI Gustavo,4, 3
Men's Singles , 16, 20:00 - 19/10/2011 , MONTEIRO Thiago , NAVAS Marco,4, 1
Men's Singles , 16, 20:00 - 19/10/2011 , RAMIREZ Jose Miguel , MADRID Marcos,3, 4
Men's Singles , 16, 20:00 - 19/10/2011 , AGUIRRE Marcelo , HINSE Pierre-Luc,4, 1
Men's Singles , 16, 20:00 - 19/10/2011 , ECHAVARRIA Alexander , LIN Ju,1, 4
Men's Singles ,Quarter Final, 11:00 - 20/10/2011 , LIU Song , PEREIRA Andy,4, 2
Men's Singles ,Quarter Final, 11:00 - 20/10/2011 , MINO Alberto , CAMPOS Jorge,4, 2
Men's Singles ,Quarter Final, 11:00 - 20/10/2011 , MONTEIRO Thiago , MADRID Marcos,1, 4
Men's Singles ,Semi Final, 13:00 - 20/10/2011 , LIU Song , MINO Alberto,4, 1
Men's Singles ,Semi Final, 13:00 - 20/10/2011 , MADRID Marcos , LIN Ju,4, 3
Men's Singles ,Final, 16:00 - 20/10/2011 , LIU Song , MADRID Marcos,4, 1
Women's Singles , 32, 15:00 - 19/10/2011 , GONZALES Glendys , KUMAHARA Caroline,1, 4
Women's Singles , 32, 15:00 - 19/10/2011 , YAMADA Jessica , VARGAS Francesca,4, 1
Women's Singles , 32, 15:00 - 19/10/2011 , JIMENEZ Leisy , RODRIGUEZ Berta,4, 2
Women's Singles , 32, 15:00 - 19/10/2011 , ESTRADA Andrea , LUO Anqi,3, 4
Women's Singles , 16, 17:00 - 19/10/2011 , WU Xue , KUMAHARA Caroline,4, 1
Women's Singles , 16, 17:00 - 19/10/2011 , VEGA Paulina , MEDINA Paula,4, 0
Women's Singles , 16, 17:00 - 19/10/2011 , SILVA Ligia , ARAQUE Johana,4, 0
Women's Singles , 16, 17:00 - 19/10/2011 , YAMADA Jessica , HSING Ariel,3, 4
Women's Singles , 16, 18:00 - 19/10/2011 , ZHANG Mo , JIMENEZ Leisy,4, 1
Women's Singles , 16, 18:00 - 19/10/2011 , RAMOS Fabiola , VALDEZ Johenny,4, 0
Women's Singles , 16, 18:00 - 19/10/2011 , LUO Anqi , ZHANG Lily,1, 4
Women's Singles ,Quarter Final, 10:00 - 20/10/2011 , WU Xue , VEGA Paulina,4, 0
Women's Singles ,Quarter Final, 10:00 - 20/10/2011 , SILVA Ligia , HSING Ariel,3, 4
Women's Singles ,Quarter Final, 10:00 - 20/10/2011 , ZHANG Mo , SILVA Yadira,4, 1
Women's Singles ,Semi Final, 12:00 - 20/10/2011 , WU Xue , HSING Ariel,4, 1
Women's Singles ,Semi Final, 12:00 - 20/10/2011 , ZHANG Mo , ZHANG Lily,4, 1
Women's Singles ,Final, 15:00 - 20/10/2011 , WU Xue , ZHANG Mo,2, 4
